11293.00000000,-57.90410000,74.51940000,-9999.00000000
11293.10000000,-57.90410000,74.51940000,-9999.00000000
11293.20000000,-57.90410000,74.51940000,-9999.00000000
11293.30000000,-57.90410000,74.51940000,-9999.00000000
11293.40000000,-57.90410000,74.51940000,-9999.00000000
11293.50000000,-57.90410000,74.51940000,-9999.00000000
11293.60000000,-57.90410000,74.51940000,-9999.00000000
11293.70000000,-57.90410000,74.51940000,-9999.00000000
11293.80000000,-57.90410000,74.51940000,-9999.00000000
11293.90000000,-57.90410000,74.51940000,-9999.00000000
