America/Nuuk,minutes,SSH,min,max
2022-12-11 21:00:00-03:00,0.0,-54.40190269638282,,
2022-12-11 21:01:00-03:00,1.0,-54.48710542672689,,
2022-12-11 21:02:00-03:00,2.0,-54.568857145216484,,
2022-12-11 21:03:00-03:00,3.0,-54.64716437254952,,
2022-12-11 21:04:00-03:00,4.0,-54.72203387081353,,
2022-12-11 21:05:00-03:00,5.0,-54.79347263780567,,
2022-12-11 21:06:00-03:00,6.0,-54.86148790947486,,
2022-12-11 21:07:00-03:00,7.0,-54.926087159491786,,
2022-12-11 21:08:00-03:00,8.0,-54.98727813534601,,
2022-12-11 21:09:00-03:00,9.0,-55.04506869737917,,
2022-12-11 21:10:00-03:00,10.0,-55.099467064182996,,
2022-12-11 21:11:00-03:00,11.0,-55.15048164748254,,
2022-12-11 21:12:00-03:00,12.0,-55.19812108979188,,
2022-12-11 21:13:00-03:00,13.0,-55.242394263721884,,
2022-12-11 21:14:00-03:00,14.0,-55.28331027502035,,
2022-12-11 21:15:00-03:00,15.0,-55.32087845686983,,
2022-12-11 21:16:00-03:00,16.0,-55.355108395641025,,
2022-12-11 21:17:00-03:00,17.0,-55.38600983477344,,
2022-12-11 21:18:00-03:00,18.0,-55.41359281500833,,
2022-12-11 21:19:00-03:00,19.0,-55.43786758240088,,
2022-12-11 21:20:00-03:00,20.0,-55.45884460367092,,
2022-12-11 21:21:00-03:00,21.0,-55.476534571943915,,
2022-12-11 21:22:00-03:00,22.0,-55.49094840073305,,
2022-12-11 21:23:00-03:00,23.0,-55.50209722704624,,
2022-12-11 21:24:00-03:00,24.0,-55.50999240955184,,
2022-12-11 21:25:00-03:00,25.0,-55.51464552537367,,
2022-12-11 21:26:00-03:00,26.0,-55.516068369381,-55.516068369381,
2022-12-11 21:27:00-03:00,27.0,-55.51427295624206,,
2022-12-11 21:28:00-03:00,28.0,-55.50927151361178,,
2022-12-11 21:29:00-03:00,29.0,-55.50107648931252,,
2022-12-11 21:30:00-03:00,30.0,-55.48970053284808,,
2022-12-11 21:31:00-03:00,31.0,-55.47515653111682,,
2022-12-11 21:32:00-03:00,32.0,-55.45745756097802,,
2022-12-11 21:33:00-03:00,33.0,-55.436616918482514,,
2022-12-11 21:34:00-03:00,34.0,-55.412648106766014,,
2022-12-11 21:35:00-03:00,35.0,-55.3855648377194,,
2022-12-11 21:36:00-03:00,36.0,-55.35538103035219,,
2022-12-11 21:37:00-03:00,37.0,-55.322110810431866,,
2022-12-11 21:38:00-03:00,38.0,-55.28576848077967,,
2022-12-11 21:39:00-03:00,39.0,-55.24636862386272,,
2022-12-11 21:40:00-03:00,40.0,-55.203925949017076,,
2022-12-11 21:41:00-03:00,41.0,-55.158455391926445,,
2022-12-11 21:42:00-03:00,42.0,-55.10997208534345,,
2022-12-11 21:43:00-03:00,43.0,-55.058491363664444,,
2022-12-11 21:44:00-03:00,44.0,-55.004028753839954,,
2022-12-11 21:45:00-03:00,45.0,-54.94659997924259,,
2022-12-11 21:46:00-03:00,46.0,-54.88622095924514,,
2022-12-11 21:47:00-03:00,47.0,-54.822907800905575,,
2022-12-11 21:48:00-03:00,48.0,-54.75667680962536,,
2022-12-11 21:49:00-03:00,49.0,-54.68754447234462,,
2022-12-11 21:50:00-03:00,50.0,-54.61552747176648,,
2022-12-11 21:51:00-03:00,51.0,-54.54064266902113,,
2022-12-11 21:52:00-03:00,52.0,-54.46290711826662,,
2022-12-11 21:53:00-03:00,53.0,-54.38233799935318,,
2022-12-11 21:54:00-03:00,54.0,-54.29895283555155,,
2022-12-11 21:55:00-03:00,55.0,-54.21276917450708,,
2022-12-11 21:56:00-03:00,56.0,-54.123804792763806,,
2022-12-11 21:57:00-03:00,57.0,-54.03207764490312,,
2022-12-11 21:58:00-03:00,58.0,-53.93760586400804,,
2022-12-11 21:59:00-03:00,59.0,-53.84040775469664,,
2022-12-11 22:00:00-03:00,60.0,-53.740501799384354,,
2022-12-11 22:01:00-03:00,61.0,-53.63790657740537,,
2022-12-11 22:02:00-03:00,62.0,-53.532641049840656,,
2022-12-11 22:03:00-03:00,63.0,-53.42472413839189,,
2022-12-11 22:04:00-03:00,64.0,-53.31417499954745,,
2022-12-11 22:05:00-03:00,65.0,-53.20101295484344,,
2022-12-11 22:06:00-03:00,66.0,-53.08525749111534,,
2022-12-11 22:07:00-03:00,67.0,-52.96692825771321,,
2022-12-11 22:08:00-03:00,68.0,-52.84604506056042,,
2022-12-11 22:09:00-03:00,69.0,-52.72262786924199,,
2022-12-11 22:10:00-03:00,70.0,-52.59669680571991,,
2022-12-11 22:11:00-03:00,71.0,-52.46827215026219,,
2022-12-11 22:12:00-03:00,72.0,-52.33737433789489,,
2022-12-11 22:13:00-03:00,73.0,-52.20402395240935,,
2022-12-11 22:14:00-03:00,74.0,-52.068241730414435,,
2022-12-11 22:15:00-03:00,75.0,-51.93004846237091,,
2022-12-11 22:16:00-03:00,76.0,-51.78946536506809,,
2022-12-11 22:17:00-03:00,77.0,-51.6465135223521,,
2022-12-11 22:18:00-03:00,78.0,-51.501214252269456,,
2022-12-11 22:19:00-03:00,79.0,-51.35358902000164,,
2022-12-11 22:20:00-03:00,80.0,-51.20365942425842,,
2022-12-11 22:21:00-03:00,81.0,-51.051447205729396,,
2022-12-11 22:22:00-03:00,82.0,-50.89697423816856,,
2022-12-11 22:23:00-03:00,83.0,-50.740262426645266,,
2022-12-11 22:24:00-03:00,84.0,-50.58133412473256,,
2022-12-11 22:25:00-03:00,85.0,-50.420211498690826,,
2022-12-11 22:26:00-03:00,86.0,-50.25691695602145,,
2022-12-11 22:27:00-03:00,87.0,-50.09147302221836,,
2022-12-11 22:28:00-03:00,88.0,-49.92390235552611,,
2022-12-11 22:29:00-03:00,89.0,-49.75422773285927,,
2022-12-11 22:30:00-03:00,90.0,-49.58247205496054,,
2022-12-11 22:31:00-03:00,91.0,-49.408658343369346,,
2022-12-11 22:32:00-03:00,92.0,-49.23280973619025,,
2022-12-11 22:33:00-03:00,93.0,-49.054949485864626,,
2022-12-11 22:34:00-03:00,94.0,-48.875100962853736,,
2022-12-11 22:35:00-03:00,95.0,-48.69328764693709,,
2022-12-11 22:36:00-03:00,96.0,-48.50953313035026,,
2022-12-11 22:37:00-03:00,97.0,-48.32386111117095,,
2022-12-11 22:38:00-03:00,98.0,-48.13629527012755,,
2022-12-11 22:39:00-03:00,99.0,-47.94685976904221,,
2022-12-11 22:40:00-03:00,100.0,-47.7555784990964,,
2022-12-11 22:41:00-03:00,101.0,-47.5624755705757,,
2022-12-11 22:42:00-03:00,102.0,-47.367575199470245,,
2022-12-11 22:43:00-03:00,103.0,-47.1709016955166,,
2022-12-11 22:44:00-03:00,104.0,-46.97247946264396,,
2022-12-11 22:45:00-03:00,105.0,-46.77233299987725,,
2022-12-11 22:46:00-03:00,106.0,-46.57048675831281,,
2022-12-11 22:47:00-03:00,107.0,-46.36696568944703,,
2022-12-11 22:48:00-03:00,108.0,-46.16179442310402,,
2022-12-11 22:49:00-03:00,109.0,-45.95499780802999,,
2022-12-11 22:50:00-03:00,110.0,-45.74660077818831,,
2022-12-11 22:51:00-03:00,111.0,-45.53662834797363,,
2022-12-11 22:52:00-03:00,112.0,-45.3251056102219,,
2022-12-11 22:53:00-03:00,113.0,-45.11205773736433,,
2022-12-11 22:54:00-03:00,114.0,-44.89750997054414,,
2022-12-11 22:55:00-03:00,115.0,-44.681487633940804,,
2022-12-11 22:56:00-03:00,116.0,-44.46401611309061,,
2022-12-11 22:57:00-03:00,117.0,-44.245120869833,,
2022-12-11 22:58:00-03:00,118.0,-44.02482742663265,,
2022-12-11 22:59:00-03:00,119.0,-43.80316137481483,,
2022-12-11 23:00:00-03:00,120.0,-43.58014822232579,,
2022-12-11 23:01:00-03:00,121.0,-43.35581397576942,,
2022-12-11 23:02:00-03:00,122.0,-43.13018426386671,,
2022-12-11 23:03:00-03:00,123.0,-42.90328491628773,,
2022-12-11 23:04:00-03:00,124.0,-42.67514181675158,,
2022-12-11 23:05:00-03:00,125.0,-42.44578090447869,,
2022-12-11 23:06:00-03:00,126.0,-42.215228164292846,,
2022-12-11 23:07:00-03:00,127.0,-41.98350963684167,,
2022-12-11 23:08:00-03:00,128.0,-41.75065124809061,,
2022-12-11 23:09:00-03:00,129.0,-41.51667943706632,,
2022-12-11 23:10:00-03:00,130.0,-41.28162021979062,,
2022-12-11 23:11:00-03:00,131.0,-41.04549980534802,,
2022-12-11 23:12:00-03:00,132.0,-40.80834444481124,,
2022-12-11 23:13:00-03:00,133.0,-40.57018041876044,,
2022-12-11 23:14:00-03:00,134.0,-40.331034052230834,,
2022-12-11 23:15:00-03:00,135.0,-40.090931693876676,,
2022-12-11 23:16:00-03:00,136.0,-39.849899724591694,,
2022-12-11 23:17:00-03:00,137.0,-39.60796455552709,,
2022-12-11 23:18:00-03:00,138.0,-39.36515261953423,,
2022-12-11 23:19:00-03:00,139.0,-39.1214903765803,,
2022-12-11 23:20:00-03:00,140.0,-38.877004308112255,,
2022-12-11 23:21:00-03:00,141.0,-38.63172091240464,,
2022-12-11 23:22:00-03:00,142.0,-38.38566670990331,,
2022-12-11 23:23:00-03:00,143.0,-38.13886806393434,,
2022-12-11 23:24:00-03:00,144.0,-37.891351855445045,,
2022-12-11 23:25:00-03:00,145.0,-37.64314447696335,,
2022-12-11 23:26:00-03:00,146.0,-37.39427249420741,,
2022-12-11 23:27:00-03:00,147.0,-37.14476248266189,,
2022-12-11 23:28:00-03:00,148.0,-36.89464102035741,,
2022-12-11 23:29:00-03:00,149.0,-36.64393468914433,,
2022-12-11 23:30:00-03:00,150.0,-36.392670073337975,,
2022-12-11 23:31:00-03:00,151.0,-36.140873584913585,,
2022-12-11 23:32:00-03:00,152.0,-35.8885721415962,,
2022-12-11 23:33:00-03:00,153.0,-35.63579214910947,,
2022-12-11 23:34:00-03:00,154.0,-35.38256017213935,,
2022-12-11 23:35:00-03:00,155.0,-35.1289027667818,,
2022-12-11 23:36:00-03:00,156.0,-34.87484647599703,,
2022-12-11 23:37:00-03:00,157.0,-34.620417834686485,,
2022-12-11 23:38:00-03:00,158.0,-34.365643358945306,,
2022-12-11 23:39:00-03:00,159.0,-34.11054954420093,,
2022-12-11 23:40:00-03:00,160.0,-33.85516287057966,,
2022-12-11 23:41:00-03:00,161.0,-33.5995097923819,,
2022-12-11 23:42:00-03:00,162.0,-33.343616742355366,,
2022-12-11 23:43:00-03:00,163.0,-33.08751013083009,,
2022-12-11 23:44:00-03:00,164.0,-32.83121633200755,,
2022-12-11 23:45:00-03:00,165.0,-32.57476152581804,,
2022-12-11 23:46:00-03:00,166.0,-32.31817236815402,,
2022-12-11 23:47:00-03:00,167.0,-32.06147497265226,,
2022-12-11 23:48:00-03:00,168.0,-31.804695583484126,,
2022-12-11 23:49:00-03:00,169.0,-31.547860410367246,,
2022-12-11 23:50:00-03:00,170.0,-31.290995619666212,,
2022-12-11 23:51:00-03:00,171.0,-31.034127339027123,,
2022-12-11 23:52:00-03:00,172.0,-30.77728164580283,,
2022-12-11 23:53:00-03:00,173.0,-30.520484405859488,,
2022-12-11 23:54:00-03:00,174.0,-30.263761947085733,,
2022-12-11 23:55:00-03:00,175.0,-30.0071400332527,,
2022-12-11 23:56:00-03:00,176.0,-29.750644552826255,,
2022-12-11 23:57:00-03:00,177.0,-29.494301330392048,,
2022-12-11 23:58:00-03:00,178.0,-29.23813614171209,,
2022-12-11 23:59:00-03:00,179.0,-28.98217469974782,,
2022-12-12 00:00:00-03:00,180.0,-28.726442660090957,,
2022-12-12 00:01:00-03:00,181.0,-28.470965616234768,,
2022-12-12 00:02:00-03:00,182.0,-28.21576909367093,,
2022-12-12 00:03:00-03:00,183.0,-27.960878554880598,,
2022-12-12 00:04:00-03:00,184.0,-27.706319395498213,,
2022-12-12 00:05:00-03:00,185.0,-27.45211693635242,,
2022-12-12 00:06:00-03:00,186.0,-27.198296429647765,,
2022-12-12 00:07:00-03:00,187.0,-26.944883054365608,,
2022-12-12 00:08:00-03:00,188.0,-26.691901739938178,,
2022-12-12 00:09:00-03:00,189.0,-26.439377852402846,,
2022-12-12 00:10:00-03:00,190.0,-26.187336163842573,,
2022-12-12 00:11:00-03:00,191.0,-25.935801536914017,,
2022-12-12 00:12:00-03:00,192.0,-25.684798749326326,,
2022-12-12 00:13:00-03:00,193.0,-25.434352494114805,,
2022-12-12 00:14:00-03:00,194.0,-25.184487378455884,,
2022-12-12 00:15:00-03:00,195.0,-24.935227915671806,,
2022-12-12 00:16:00-03:00,196.0,-24.68659836505279,,
2022-12-12 00:17:00-03:00,197.0,-24.43862339507195,,
2022-12-12 00:18:00-03:00,198.0,-24.191327071729763,,
2022-12-12 00:19:00-03:00,199.0,-23.94473353939163,,
2022-12-12 00:20:00-03:00,200.0,-23.698866835076906,,
2022-12-12 00:21:00-03:00,201.0,-23.45375090279822,,
2022-12-12 00:22:00-03:00,202.0,-23.20940958201922,,
2022-12-12 00:23:00-03:00,203.0,-22.965866604876965,,
2022-12-12 00:24:00-03:00,204.0,-22.72314560028929,,
2022-12-12 00:25:00-03:00,205.0,-22.481270093386634,,
2022-12-12 00:26:00-03:00,206.0,-22.240263491202906,,
2022-12-12 00:27:00-03:00,207.0,-22.000149097231485,,
2022-12-12 00:28:00-03:00,208.0,-21.760950095444144,,
2022-12-12 00:29:00-03:00,209.0,-21.52268956007578,,
2022-12-12 00:30:00-03:00,210.0,-21.285390288525523,,
2022-12-12 00:31:00-03:00,211.0,-21.04907543264074,,
2022-12-12 00:32:00-03:00,212.0,-20.813767553987972,,
2022-12-12 00:33:00-03:00,213.0,-20.579489247462988,,
2022-12-12 00:34:00-03:00,214.0,-20.34626298282673,,
2022-12-12 00:35:00-03:00,215.0,-20.114111108733734,,
2022-12-12 00:36:00-03:00,216.0,-19.88305584145051,,
2022-12-12 00:37:00-03:00,217.0,-19.65311927390036,,
2022-12-12 00:38:00-03:00,218.0,-19.424323212904067,,
2022-12-12 00:39:00-03:00,219.0,-19.196689794089178,,
2022-12-12 00:40:00-03:00,220.0,-18.97024055808993,,
2022-12-12 00:41:00-03:00,221.0,-18.74499706496372,,
2022-12-12 00:42:00-03:00,222.0,-18.520980735802677,,
2022-12-12 00:43:00-03:00,223.0,-18.298212853594578,,
2022-12-12 00:44:00-03:00,224.0,-18.076714565392237,,
2022-12-12 00:45:00-03:00,225.0,-17.856506869919762,,
2022-12-12 00:46:00-03:00,226.0,-17.63761062802288,,
2022-12-12 00:47:00-03:00,227.0,-17.420046550644518,,
2022-12-12 00:48:00-03:00,228.0,-17.203835205639983,,
2022-12-12 00:49:00-03:00,229.0,-16.988997012433916,,
2022-12-12 00:50:00-03:00,230.0,-16.77555223884379,,
2022-12-12 00:51:00-03:00,231.0,-16.5635210037168,,
2022-12-12 00:52:00-03:00,232.0,-16.352923272692735,,
2022-12-12 00:53:00-03:00,233.0,-16.143778714509917,,
2022-12-12 00:54:00-03:00,234.0,-15.936107267909785,,
2022-12-12 00:55:00-03:00,235.0,-15.729928289931461,,
2022-12-12 00:56:00-03:00,236.0,-15.525261118105357,,
2022-12-12 00:57:00-03:00,237.0,-15.322124933816738,,
2022-12-12 00:58:00-03:00,238.0,-15.120538752714264,,
2022-12-12 00:59:00-03:00,239.0,-14.920521430584937,,
2022-12-12 01:00:00-03:00,240.0,-14.722091657418698,,
2022-12-12 01:01:00-03:00,241.0,-14.52526782757954,,
2022-12-12 01:02:00-03:00,242.0,-14.330068559779841,,
2022-12-12 01:03:00-03:00,243.0,-14.136511912899842,,
2022-12-12 01:04:00-03:00,244.0,-13.944615902930055,,
2022-12-12 01:05:00-03:00,245.0,-13.75439837825747,,
2022-12-12 01:06:00-03:00,246.0,-13.565877014721037,,
2022-12-12 01:07:00-03:00,247.0,-13.379069308884517,,
2022-12-12 01:08:00-03:00,248.0,-13.193992590971016,,
2022-12-12 01:09:00-03:00,249.0,-13.010664006465516,,
2022-12-12 01:10:00-03:00,250.0,-12.829100526855985,,
2022-12-12 01:11:00-03:00,251.0,-12.649318944445278,,
2022-12-12 01:12:00-03:00,252.0,-12.47133586764073,,
2022-12-12 01:13:00-03:00,253.0,-12.295167730009124,,
2022-12-12 01:14:00-03:00,254.0,-12.120830775168603,,
2022-12-12 01:15:00-03:00,255.0,-11.948340949553845,,
2022-12-12 01:16:00-03:00,256.0,-11.777714363533143,,
2022-12-12 01:17:00-03:00,257.0,-11.608966592009315,,
2022-12-12 01:18:00-03:00,258.0,-11.442113135123588,,
2022-12-12 01:19:00-03:00,259.0,-11.27716930671106,,
2022-12-12 01:20:00-03:00,260.0,-11.114150234751055,,
2022-12-12 01:21:00-03:00,261.0,-10.95307084778278,,
2022-12-12 01:22:00-03:00,262.0,-10.793945889354701,,
2022-12-12 01:23:00-03:00,263.0,-10.636789799755682,,
2022-12-12 01:24:00-03:00,264.0,-10.481617143001118,,
2022-12-12 01:25:00-03:00,265.0,-10.328441971616572,,
2022-12-12 01:26:00-03:00,266.0,-10.177278243792234,,
2022-12-12 01:27:00-03:00,267.0,-10.02813972567471,,
2022-12-12 01:28:00-03:00,268.0,-9.88103998096262,,
2022-12-12 01:29:00-03:00,269.0,-9.735992373856062,,
2022-12-12 01:30:00-03:00,270.0,-9.593010068812816,,
2022-12-12 01:31:00-03:00,271.0,-9.452106030323758,,
2022-12-12 01:32:00-03:00,272.0,-9.31329301639515,,
2022-12-12 01:33:00-03:00,273.0,-9.176583585065718,,
2022-12-12 01:34:00-03:00,274.0,-9.041990088986251,,
2022-12-12 01:35:00-03:00,275.0,-8.909524674231085,,
2022-12-12 01:36:00-03:00,276.0,-8.779199281550056,,
2022-12-12 01:37:00-03:00,277.0,-8.651025646780628,,
2022-12-12 01:38:00-03:00,278.0,-8.525015210299692,,
2022-12-12 01:39:00-03:00,279.0,-8.401179458128993,,
2022-12-12 01:40:00-03:00,280.0,-8.279529413360494,,
2022-12-12 01:41:00-03:00,281.0,-8.160075971581962,,
2022-12-12 01:42:00-03:00,282.0,-8.042829819795836,,
2022-12-12 01:43:00-03:00,283.0,-7.927801429563614,,
2022-12-12 01:44:00-03:00,284.0,-7.815001063744676,,
2022-12-12 01:45:00-03:00,285.0,-7.704438769911673,,
2022-12-12 01:46:00-03:00,286.0,-7.596124307277287,,
2022-12-12 01:47:00-03:00,287.0,-7.49006743987968,,
2022-12-12 01:48:00-03:00,288.0,-7.386277497367442,,
2022-12-12 01:49:00-03:00,289.0,-7.284763663968907,,
2022-12-12 01:50:00-03:00,290.0,-7.185534908605157,,
2022-12-12 01:51:00-03:00,291.0,-7.088599984650304,,
2022-12-12 01:52:00-03:00,292.0,-6.9939674223151105,,
2022-12-12 01:53:00-03:00,293.0,-6.90164553636054,,
2022-12-12 01:54:00-03:00,294.0,-6.811642421710309,,
2022-12-12 01:55:00-03:00,295.0,-6.723965950099778,,
2022-12-12 01:56:00-03:00,296.0,-6.63862377698494,,
2022-12-12 01:57:00-03:00,297.0,-6.5556233344175086,,
2022-12-12 01:58:00-03:00,298.0,-6.474971831375444,,
2022-12-12 01:59:00-03:00,299.0,-6.39667625653497,,
2022-12-12 02:00:00-03:00,300.0,-6.320743325445459,,
2022-12-12 02:01:00-03:00,301.0,-6.247179680651649,,
2022-12-12 02:02:00-03:00,302.0,-6.17599158829754,,
2022-12-12 02:03:00-03:00,303.0,-6.107185143987949,,
2022-12-12 02:04:00-03:00,304.0,-6.040766215853847,,
2022-12-12 02:05:00-03:00,305.0,-5.976740447978994,,
2022-12-12 02:06:00-03:00,306.0,-5.91511326026893,,
2022-12-12 02:07:00-03:00,307.0,-5.855889843959342,,
2022-12-12 02:08:00-03:00,308.0,-5.799075129273475,,
2022-12-12 02:09:00-03:00,309.0,-5.74467393366446,,
2022-12-12 02:10:00-03:00,310.0,-5.692690730531111,,
2022-12-12 02:11:00-03:00,311.0,-5.643129806259932,,
2022-12-12 02:12:00-03:00,312.0,-5.595995220621368,,
2022-12-12 02:13:00-03:00,313.0,-5.5512908031725425,,
2022-12-12 02:14:00-03:00,314.0,-5.509020158194616,,
2022-12-12 02:15:00-03:00,315.0,-5.469186660437566,,
2022-12-12 02:16:00-03:00,316.0,-5.431793456142155,,
2022-12-12 02:17:00-03:00,317.0,-5.3968434629733055,,
2022-12-12 02:18:00-03:00,318.0,-5.364339371030161,,
2022-12-12 02:19:00-03:00,319.0,-5.334283638379306,,
2022-12-12 02:20:00-03:00,320.0,-5.306678497952092,,
2022-12-12 02:21:00-03:00,321.0,-5.281525950840504,,
2022-12-12 02:22:00-03:00,322.0,-5.258827768930805,,
2022-12-12 02:23:00-03:00,323.0,-5.238585482268444,,
2022-12-12 02:24:00-03:00,324.0,-5.220800431957107,,
2022-12-12 02:25:00-03:00,325.0,-5.20547368589104,,
2022-12-12 02:26:00-03:00,326.0,-5.192606098670286,,
2022-12-12 02:27:00-03:00,327.0,-5.18219829515737,,
2022-12-12 02:28:00-03:00,328.0,-5.174250668702069,,
2022-12-12 02:29:00-03:00,329.0,-5.168763384889104,,
